Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (biological process)
P07748	FIXZ_RHILE	reviewed	FeMo cofactor biosynthesis protein FixZ (EC 4.-.-.-) (Nitrogen fixation protein FixZ) (Fragment)	fixZ	Rhizobium leguminosarum	465	nitrogen fixation [GO:0009399]
P18396	FIXG_RHIME	reviewed	Nitrogen fixation protein FixG	fixG RA0661 SMa1211	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	524	nitrogen fixation [GO:0009399]
P06772	NIFL_KLEPN	reviewed	Nitrogen fixation regulatory protein	nifL	Klebsiella pneumoniae	495	nitrogen fixation [GO:0009399]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]
P29286	FIXK_BRADU	reviewed	Nitrogen fixation regulation protein FixK	fixK bll6061	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)	237	nitrogen fixation [GO:0009399]
P00459	NIFH1_AZOVI	reviewed	Nitrogenase iron protein 1 (EC 1.18.6.1) (Nitrogenase Fe protein 1) (Nitrogenase component II) (Nitrogenase reductase)	nifH1	Azotobacter vinelandii	290	nitrogen fixation [GO:0009399]
P05341	NIFS_AZOVI	reviewed	Cysteine desulfurase NifS (EC 2.8.1.7) (Nitrogenase metalloclusters biosynthesis protein NifS)	nifS	Azotobacter vinelandii	402	cellular amino acid metabolic process [GO:0006520]; nitrogen fixation [GO:0009399]
P26488	FIXK_AZOC5	reviewed	Nitrogen fixation regulation protein FixK	fixK AZC_4653	Azorhizobium caulinodans (strain ATCC 43989 / DSM 5975 / JCM 20966 / NBRC 14845 / NCIMB 13405 / ORS 571)	248	nitrogen fixation [GO:0009399]
P56267	NIFL_KLEOX	reviewed	Nitrogen fixation regulatory protein	nifL	Klebsiella oxytoca	495	nitrogen fixation [GO:0009399]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]
P07328	NIFD_AZOVI	reviewed	Nitrogenase molybdenum-iron protein alpha chain (EC 1.18.6.1) (Dinitrogenase) (Nitrogenase component I)	nifD	Azotobacter vinelandii	492	nitrogen fixation [GO:0009399]
P0CW46	GLNB2_METMI	reviewed	Nitrogen fixation nifHD region glnB-like protein 2	glnBII nifI2	Methanococcus maripaludis (Methanococcus deltae)	121	nitrogen fixation [GO:0009399]; regulation of nitrogen utilization [GO:0006808]
P0CW44	GLNB1_METMI	reviewed	Nitrogen fixation nifHD region glnB-like protein 1	glnBI nifI1	Methanococcus maripaludis (Methanococcus deltae)	105	nitrogen fixation [GO:0009399]; regulation of nitrogen utilization [GO:0006808]
P07329	NIFK_AZOVI	reviewed	Nitrogenase molybdenum-iron protein beta chain (EC 1.18.6.1) (Dinitrogenase) (Nitrogenase component I)	nifK	Azotobacter vinelandii	523	nitrogen fixation [GO:0009399]
Q44501	FESII_AZOVI	reviewed	Protein FeSII (FeSII) (Shethna protein FeSII)	fesII	Azotobacter vinelandii	122	nitrogen fixation [GO:0009399]
P14300	DRAG_RHORU	reviewed	ADP-ribosyl-[dinitrogen reductase] glycohydrolase (ADP-ribosylglycohydrolase) (EC 3.2.2.24) (Dinitrogenase reductase-activating glycohydrolase) (Mono-ADP-ribosylhydrolase)	draG	Rhodospirillum rubrum	294	nitrogen fixation [GO:0009399]; protein de-ADP-ribosylation [GO:0051725]
Q9H1K1	ISCU_HUMAN	reviewed	Iron-sulfur cluster assembly enzyme ISCU, mitochondrial (NifU-like N-terminal domain-containing protein) (NifU-like protein)	ISCU NIFUN	Homo sapiens (Human)	167	cellular iron ion homeostasis [GO:0006879]; iron-sulfur cluster assembly [GO:0016226]; negative regulation of iron ion import across plasma membrane [GO:1904439]; positive regulation of aconitate hydratase activity [GO:1904234]; positive regulation of mitochondrial electron transport, NADH to ubiquinone [GO:1902958]
P0AFB5	NTRB_ECOLI	reviewed	Sensory histidine kinase/phosphatase NtrB (EC 2.7.13.3) (EC 3.1.3.-) (Nitrogen regulation protein NR(II)) (Nitrogen regulator II) (NRII)	glnL glnR ntrB b3869 JW3840	Escherichia coli (strain K12)	349	nitrogen fixation [GO:0009399]; protein autophosphorylation [GO:0046777]; regulation of nitrogen compound metabolic process [GO:0051171]; regulation of transcription, DNA-templated [GO:0006355]; signal transduction [GO:0007165]
P13295	FIXK_RHIME	reviewed	Nitrogen fixation regulation protein FixK	fixK RA0667 SMa1225	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	211	nitrogen fixation [GO:0009399]
Q50787	GLNB2_METTM	reviewed	Nitrogen fixation nifHD region GlnB-like protein 2	glnBB nifI2 MTBMA_c01480	Methanothermobacter marburgensis (strain ATCC BAA-927 / DSM 2133 / JCM 14651 / NBRC 100331 / OCM 82 / Marburg) (Methanobacterium thermoautotrophicum)	121	nitrogen fixation [GO:0009399]; regulation of nitrogen utilization [GO:0006808]
Q50786	GLNB1_METTM	reviewed	Nitrogen fixation nifHD region GlnB-like protein 1	glnBA nifI1 MTBMA_c01470	Methanothermobacter marburgensis (strain ATCC BAA-927 / DSM 2133 / JCM 14651 / NBRC 100331 / OCM 82 / Marburg) (Methanobacterium thermoautotrophicum)	105	nitrogen fixation [GO:0009399]; regulation of nitrogen utilization [GO:0006808]
P18399	FIXS_RHIME	reviewed	Nitrogen fixation protein FixS	fixS RA0658 SMa1208	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	55	nitrogen fixation [GO:0009399]
P18397	FIXH_RHIME	reviewed	Nitrogen fixation protein FixH	fixH RA0660 SMa1210	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	167	nitrogen fixation [GO:0009399]
Q02635	AAPAT_RHIME	reviewed	Aspartate/prephenate aminotransferase (AspAT / PAT) (EC 2.6.1.1) (EC 2.6.1.79) (Transaminase A)	aatA R02325 SMc01578	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	400	biosynthetic process [GO:0009058]
P22921	NIFH_RHORU	reviewed	Nitrogenase iron protein (EC 1.18.6.1) (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase)	nifH	Rhodospirillum rubrum	295	nitrogen fixation [GO:0009399]
P25770	GLNB2_METTL	reviewed	Nitrogen fixation nifHD region GlnB-like protein 2 (ORF-128)	glnBB	Methanothermococcus thermolithotrophicus (Methanococcus thermolithotrophicus)	128	nitrogen fixation [GO:0009399]; regulation of nitrogen utilization [GO:0006808]
P25771	GLNB1_METTL	reviewed	Nitrogen fixation nifHD region GlnB-like protein 1 (ORF-105)	glnBA	Methanothermococcus thermolithotrophicus (Methanococcus thermolithotrophicus)	105	nitrogen fixation [GO:0009399]; regulation of nitrogen utilization [GO:0006808]
P54809	GLNB2_METBA	reviewed	Nitrogen fixation nifHD1 region GlnB-like protein 2 (ORF-123)	glnBB	Methanosarcina barkeri	123	nitrogen fixation [GO:0009399]; regulation of nitrogen utilization [GO:0006808]
P54808	GLNB1_METBA	reviewed	Nitrogen fixation nifHD1 region GlnB-like protein 1 (ORF-105)	glnBA	Methanosarcina barkeri	105	nitrogen fixation [GO:0009399]; regulation of nitrogen utilization [GO:0006808]
P51603	GLNB1_METIV	reviewed	Nitrogen fixation nifHD region GlnB-like protein 1 (ORF-105)	glnBA	Methanobacterium ivanovii	105	nitrogen fixation [GO:0009399]; regulation of nitrogen utilization [GO:0006808]
P51604	GLNB2_METIV	reviewed	Nitrogen fixation nifHD region GlnB-like protein 2 (ORF-122)	glnBB	Methanobacterium ivanovii	122	nitrogen fixation [GO:0009399]; regulation of nitrogen utilization [GO:0006808]
E4NKF8	PUB1_MEDTR	reviewed	U-box domain-containing protein 1 (EC 2.3.2.27) (Plant U-box protein 1) (MtPUB1) (RING-type E3 ubiquitin transferase PUB1)	PUB1 MTR_5g083030	Medicago truncatula (Barrel medic) (Medicago tribuloides)	694	arbuscular mycorrhizal association [GO:0036377]; nodulation [GO:0009877]; response to molecule of bacterial origin [GO:0002237]; response to symbiotic bacterium [GO:0009609]; response to symbiotic fungus [GO:0009610]
Q56WN1	GLN11_ARATH	reviewed	Glutamine synthetase cytosolic isozyme 1-1 (EC 6.3.1.2) (Glutamate--ammonia ligase GLN1;1) (GLN1;1)	GLN1-1 At5g37600 K12B20.50	Arabidopsis thaliana (Mouse-ear cress)	356	glutamine biosynthetic process [GO:0006542]; leaf senescence [GO:0010150]; nitrate assimilation [GO:0042128]
P27709	HETR_NOSS1	reviewed	DNA-binding transcriptional activator HetR (EC 3.4.21.-) (Heterocyst differentiation control protein)	hetR alr2339	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	299	heterocyst differentiation [GO:0043158]
P51131	CYBC_BRADU	reviewed	Cytochrome b/c1 [Cleaved into: Cytochrome b; Cytochrome c1]	fbcH blr2486	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)	687	respiratory electron transport chain [GO:0022904]
P46045	NIFU_FRAAL	reviewed	Nitrogen fixation protein NifU	nifU	Frankia alni	192	iron-sulfur cluster assembly [GO:0016226]; nitrogen fixation [GO:0009399]
P00458	NIFH_KLEPN	reviewed	Nitrogenase iron protein (EC 1.18.6.1) (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase)	nifH	Klebsiella pneumoniae	293	nitrogen fixation [GO:0009399]
Q9FMD9	GLN14_ARATH	reviewed	Glutamine synthetase cytosolic isozyme 1-4 (EC 6.3.1.2) (Glutamate--ammonia ligase GLN1;4) (GLN1;4)	GLN1-4 At5g16570 MTG13.1	Arabidopsis thaliana (Mouse-ear cress)	356	glutamine biosynthetic process [GO:0006542]; nitrate assimilation [GO:0042128]
P00324	FLAV_AZOVI	reviewed	Flavodoxin 2 (AvFld 2) (Flavodoxin II)	nifF	Azotobacter vinelandii	180	nitrogen fixation [GO:0009399]
P00467	NIFD_CLOPA	reviewed	Nitrogenase molybdenum-iron protein alpha chain (EC 1.18.6.1) (Dinitrogenase) (Nitrogenase component I)	nifD	Clostridium pasteurianum	534	nitrogen fixation [GO:0009399]
P06118	NIFH2_AZOCH	reviewed	Nitrogenase iron protein 2 (EC 1.18.6.1) (Nitrogenase Fe protein 2) (Nitrogenase component II) (Nitrogenase reductase)	vnfH nifH* nifH2	Azotobacter chroococcum mcd 1	290	nitrogen fixation [GO:0009399]
Q07178	NIFU1_RHOCA	reviewed	Nitrogen fixation protein NifU 1	nifU1 nifUI	Rhodobacter capsulatus (Rhodopseudomonas capsulata)	135	iron-sulfur cluster assembly [GO:0016226]; nitrogen fixation [GO:0009399]
Q10373	NIFU2_RHOCA	reviewed	Nitrogen fixation protein NifU 2	nifU2 nifUII	Rhodobacter capsulatus (Rhodopseudomonas capsulata)	142	iron-sulfur cluster assembly [GO:0016226]; nitrogen fixation [GO:0009399]
P24059	CY552_BRADU	reviewed	Cytochrome c-552 (Cytochrome c552)	cycB blr6128	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)	104	nitrogen fixation [GO:0009399]
P54806	GLNB4_METBA	reviewed	Nitrogen fixation nifHD2 region GlnB-like protein 2 (ORF-125)		Methanosarcina barkeri	125	nitrogen fixation [GO:0009399]; regulation of nitrogen utilization [GO:0006808]
P15335	NIFH2_AZOVI	reviewed	Nitrogenase iron protein 2 (EC 1.18.6.1) (Nitrogenase Fe protein 2) (Nitrogenase component II) (Nitrogenase reductase)	vnfH nifH2	Azotobacter vinelandii	290	nitrogen fixation [GO:0009399]
P54807	GLNB3_METBA	reviewed	Nitrogen fixation nifHD2 region GlnB-like protein 1 (ORF-105)		Methanosarcina barkeri	105	nitrogen fixation [GO:0009399]; regulation of nitrogen utilization [GO:0006808]
P20628	NIFU_NOSS1	reviewed	Nitrogen fixation protein NifU	nifU all1456	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	300	iron-sulfur cluster assembly [GO:0016226]; nitrogen fixation [GO:0009399]
P00456	NIFH1_CLOPA	reviewed	Nitrogenase iron protein 1 (EC 1.18.6.1) (Nitrogenase Fe protein 1) (Nitrogenase component II) (Nitrogenase reductase)	nifH1	Clostridium pasteurianum	273	nitrogen fixation [GO:0009399]
P00466	NIFD_KLEPN	reviewed	Nitrogenase molybdenum-iron protein alpha chain (EC 1.18.6.1) (Dinitrogenase) (Nitrogenase component I)	nifD	Klebsiella pneumoniae	483	nitrogen fixation [GO:0009399]
P26248	NIFH1_AZOCH	reviewed	Nitrogenase iron protein 1 (EC 1.18.6.1) (Nitrogenase Fe protein 1) (Nitrogenase component II) (Nitrogenase reductase)	nifH1 nifH	Azotobacter chroococcum mcd 1	291	nitrogen fixation [GO:0009399]
D5VRM1	NIFB_METIM	reviewed	FeMo cofactor biosynthesis protein NifB (EC 4.-.-.-) (Nitrogenase cofactor maturase NifB) (Radical SAM assemblase NifB)	nifB Metin_0554	Methanocaldococcus infernus (strain DSM 11812 / JCM 15783 / ME)	302	nitrogen fixation [GO:0009399]
P0AFB8	NTRC_ECOLI	reviewed	DNA-binding transcriptional regulator NtrC (Nitrogen regulation protein NR(I)) (Nitrogen regulator I) (NRI)	glnG glnT ntrC b3868 JW3839	Escherichia coli (strain K12)	469	nitrogen fixation [GO:0009399]; regulation of nitrogen utilization [GO:0006808]; regulation of transcription, DNA-templated [GO:0006355]
Q43885	NIFU_TRIAZ	reviewed	Nitrogen fixation protein NifU	nifU	Trichormus azollae (Anabaena azollae)	300	iron-sulfur cluster assembly [GO:0016226]; nitrogen fixation [GO:0009399]
Q43909	NIFU_AZOBR	reviewed	Nitrogen fixation protein NifU	nifU	Azospirillum brasilense	310	iron-sulfur cluster assembly [GO:0016226]; nitrogen fixation [GO:0009399]
D5ARW9	NIFA_RHOCB	reviewed	Nif-specific regulatory protein	nifA1 nifA RCAP_rcc03267	Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003)	579	nitrogen fixation [GO:0009399]; phosphorelay signal transduction system [GO:0000160]
P17303	NIFH_AZOBR	reviewed	Nitrogenase iron protein (EC 1.18.6.1) (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase)	nifH	Azospirillum brasilense	293	nitrogen fixation [GO:0009399]
P09772	NIFK_KLEPN	reviewed	Nitrogenase molybdenum-iron protein beta chain (EC 1.18.6.1) (Dinitrogenase) (Nitrogenase component I)	nifK	Klebsiella pneumoniae	520	nitrogen fixation [GO:0009399]
P0CW47	GLNB2_METMP	reviewed	Nitrogen fixation nifHD region glnB-like protein 2	glnBII nifI2 MMP0855	Methanococcus maripaludis (strain S2 / LL)	121	nitrogen fixation [GO:0009399]; regulation of nitrogen utilization [GO:0006808]
P0CW45	GLNB1_METMP	reviewed	Nitrogen fixation nifHD region glnB-like protein 1	glnBI nifI1 MMP0854	Methanococcus maripaludis (strain S2 / LL)	105	nitrogen fixation [GO:0009399]; regulation of nitrogen utilization [GO:0006808]
P10955	FIXL_RHIME	reviewed	Sensor protein FixL (EC 2.7.13.3)	fixL RA0670 SMa1229	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	505	nitrogen fixation [GO:0009399]; regulation of transcription, DNA-templated [GO:0006355]
P06117	NIFH_BRADU	reviewed	Nitrogenase iron protein (EC 1.18.6.1) (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase)	nifH blr1769	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)	294	nitrogen fixation [GO:0009399]
O87393	GLNA3_RHIME	reviewed	Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase III) (GSIII)	glnT R00090 SMc02613	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	435	glutamine biosynthetic process [GO:0006542]; nitrogen fixation [GO:0009399]
P16269	NIFH3_AZOVI	reviewed	Nitrogenase iron protein 3 (EC 1.18.6.1) (Nitrogenase Fe protein 3) (Nitrogenase component II) (Nitrogenase reductase)	anfH	Azotobacter vinelandii	275	nitrogen fixation [GO:0009399]
Q07942	NIFH2_RHOCA	reviewed	Nitrogenase iron protein 2 (EC 1.18.6.1) (Nitrogenase Fe protein 2) (Nitrogenase component II) (Nitrogenase reductase)	anfH	Rhodobacter capsulatus (Rhodopseudomonas capsulata)	275	nitrogen fixation [GO:0009399]
P30667	NIFA_AZOBR	reviewed	Nif-specific regulatory protein	nifA	Azospirillum brasilense	625	nitrogen fixation [GO:0009399]; phosphorelay signal transduction system [GO:0000160]; positive regulation of DNA-templated transcription, initiation [GO:2000144]
P00964	GLN1B_NOSS1	reviewed	Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I beta) (GSI beta)	glnA alr2328	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	474	glutamine biosynthetic process [GO:0006542]; heterocyst differentiation [GO:0043158]; nitrogen fixation [GO:0009399]
O32119	YUTI_BACSU	reviewed	Putative nitrogen fixation protein YutI	yutI BSU32220	Bacillus subtilis (strain 168)	111	iron-sulfur cluster assembly [GO:0016226]; nitrogen fixation [GO:0009399]
P10958	FIXJ_RHIME	reviewed	Transcriptional regulatory protein FixJ	fixJ RA0669 SMa1227	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	204	nitrogen fixation [GO:0009399]; phosphorelay signal transduction system [GO:0000160]; positive regulation of transcription, DNA-templated [GO:0045893]
P16855	VNFD_AZOVI	reviewed	Nitrogenase vanadium-iron protein alpha chain (EC 1.18.6.1) (Dinitrogenase 2 subunit alpha) (Nitrogenase component I)	vnfD	Azotobacter vinelandii	474	nitrogen fixation [GO:0009399]
P16856	VNFK_AZOVI	reviewed	Nitrogenase vanadium-iron protein beta chain (EC 1.18.6.1) (Dinitrogenase 2 subunit beta) (Nitrogenase component I)	vnfK	Azotobacter vinelandii	475	nitrogen fixation [GO:0009399]
P05343	NIFU_KLEPN	reviewed	Nitrogen fixation protein NifU	nifU	Klebsiella pneumoniae	274	iron-sulfur cluster assembly [GO:0016226]; nitrogen fixation [GO:0009399]
Q02154	GLNA2_RHILP	reviewed	Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase II) (GSII)	glnII	Rhizobium leguminosarum bv. phaseoli	326	glutamine biosynthetic process [GO:0006542]; nitrogen fixation [GO:0009399]
A4VLU6	CYSG_PSEU5	reviewed	Siroheme synthase [Includes: Uroporphyrinogen-III C-methyltransferase (Urogen III methylase) (EC 2.1.1.107) (SUMT) (Uroporphyrinogen III methylase) (UROM); Precorrin-2 dehydrogenase (EC 1.3.1.76); Sirohydrochlorin ferrochelatase (EC 4.99.1.4)]	cysG PST_2288	Pseudomonas stutzeri (strain A1501)	465	cobalamin biosynthetic process [GO:0009236]; methylation [GO:0032259]; siroheme biosynthetic process [GO:0019354]
P11347	NIFK_CLOPA	reviewed	Nitrogenase molybdenum-iron protein beta chain (EC 1.18.6.1) (Dinitrogenase) (Nitrogenase component I)	nifK	Clostridium pasteurianum	458	nitrogen fixation [GO:0009399]
A4VKA3	FADB_PSEU5	reviewed	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadB PST_1726	Pseudomonas stutzeri (strain A1501)	715	fatty acid beta-oxidation [GO:0006635]
P0CY94	NIFA_RHOCA	reviewed	Nif-specific regulatory protein	nifA1 nifA	Rhodobacter capsulatus (Rhodopseudomonas capsulata)	579	nitrogen fixation [GO:0009399]; phosphorelay signal transduction system [GO:0000160]
P09133	NIFA_AZOC5	reviewed	Nif-specific regulatory protein	nifA AZC_1049	Azorhizobium caulinodans (strain ATCC 43989 / DSM 5975 / JCM 20966 / NBRC 14845 / NCIMB 13405 / ORS 571)	615	nitrogen fixation [GO:0009399]; phosphorelay signal transduction system [GO:0000160]
A4VFY3	AKECT_PSEU5	reviewed	Aspartate kinase Ask_Ect (EC 2.7.2.4) (Aspartokinase)	ask ask_ect PST_0177	Pseudomonas stutzeri (strain A1501)	476	ectoine biosynthetic process [GO:0019491]
P23121	NIFU_AZOCH	reviewed	Nitrogen fixation protein NifU	nifU	Azotobacter chroococcum mcd 1	309	iron-sulfur cluster assembly [GO:0016226]; nitrogen fixation [GO:0009399]
P15332	VNFD_AZOCH	reviewed	Nitrogenase vanadium-iron protein alpha chain (EC 1.18.6.1) (Dinitrogenase 2 subunit alpha) (Nitrogenase component I)	vnfD	Azotobacter chroococcum mcd 1	473	nitrogen fixation [GO:0009399]
P16266	ANFD_AZOVI	reviewed	Nitrogenase iron-iron protein alpha chain (EC 1.18.6.1) (Dinitrogenase 3 subunit alpha) (Nitrogenase component I)	anfD	Azotobacter vinelandii	518	nitrogen fixation [GO:0009399]
P15334	VNFK_AZOCH	reviewed	Nitrogenase vanadium-iron protein beta chain (EC 1.18.6.1) (Dinitrogenase 2 subunit beta) (Nitrogenase component I)	vnfK	Azotobacter chroococcum mcd 1	475	nitrogen fixation [GO:0009399]
P03028	NIFA_RHIME	reviewed	Nif-specific regulatory protein	nifA fixD RA0443 SMa0815	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	541	nitrogen fixation [GO:0009399]; phosphorelay signal transduction system [GO:0000160]
Q01180	NIFU_RHOSH	reviewed	Nitrogen fixation protein NifU	nifU	Rhodobacter sphaeroides (Rhodopseudomonas sphaeroides)	246	iron-sulfur cluster assembly [GO:0016226]; nitrogen fixation [GO:0009399]
P36223	GLND_AZOVI	reviewed	Bifunctional uridylyltransferase/uridylyl-removing enzyme (UTase/UR) (Bifunctional [protein-PII] modification enzyme) (Bifunctional nitrogen sensor protein) [Includes: [Protein-PII] uridylyltransferase (PII uridylyltransferase) (UTase) (EC 2.7.7.59); [Protein-PII]-UMP uridylyl-removing enzyme (UR) (EC 3.1.4.-)]	glnD nfrX	Azotobacter vinelandii	899	nitrogen fixation [GO:0009399]; regulation of nitrogen utilization [GO:0006808]
A4VL58	PSRP_PSEU5	reviewed	Putative phosphoenolpyruvate synthase regulatory protein (PEP synthase regulatory protein) (PSRP) (EC 2.7.11.33) (EC 2.7.4.28) (Pyruvate, water dikinase regulatory protein)	PST_2038	Pseudomonas stutzeri (strain A1501)	272	protein dephosphorylation [GO:0006470]
A4VIX7	RECO_PSEU5	reviewed	DNA repair protein RecO (Recombination protein O)	recO PST_1233	Pseudomonas stutzeri (strain A1501)	236	DNA recombination [GO:0006310]; DNA repair [GO:0006281]
